asset_id,hostname,type,location,owner,last_seen
AST-001,web-srv-01,server,DC-Rack-A1,IT-Ops,2024-05-30
AST-002,web-srv-02,server,DC-Rack-A1,IT-Ops,2024-05-30
AST-003,db-srv-01,server,DC-Rack-B2,DBA-Team,2024-05-29
AST-004,db-srv-02,server,DC-Rack-B2,DBA-Team,2024-05-29
AST-005,app-srv-01,server,DC-Rack-C1,AppDev,2024-05-30
AST-006,app-srv-02,server,DC-Rack-C1,AppDev,2024-05-28
AST-007,fw-01,firewall,DC-Rack-A0,NetSec,2024-05-30
AST-008,sw-core-01,switch,DC-Rack-A0,NetSec,2024-05-30
AST-009,sw-access-01,switch,Floor-1,NetSec,2024-05-30
AST-010,sw-access-02,switch,Floor-2,NetSec,2024-05-30
AST-011,wks-alice,workstation,Office-101,Alice.Smith,2024-05-30
AST-012,wks-bob,workstation,Office-102,Bob.Jones,2024-05-29
AST-013,wks-carol,workstation,Office-103,Carol.White,2024-05-28
AST-014,wks-dave,workstation,Office-104,Dave.Brown,2024-05-27
AST-015,prn-floor1,printer,Floor-1,IT-Ops,2024-05-20
AST-016,prn-floor2,printer,Floor-2,IT-Ops,2024-05-18
AST-017,cam-lobby,iot,Lobby,Facilities,2024-05-30
AST-018,cam-dc,iot,DC-Entry,NetSec,2024-05-30
AST-019,nas-backup,server,DC-Rack-D1,IT-Ops,2024-05-25
AST-020,vpn-gw,server,DC-Rack-A2,NetSec,2024-05-30
